label,tool,rep,seconds,mbps,cpu_user,cpu_sys,ok,timeout,bytes
rtt250ms/loss0.1pct,bigcurl-auto,2,8.191,3.907,0.42,0.63,1,0,33554432
rtt250ms/loss0.1pct,curl,3,5.366,5.963,0.02,0.12,1,0,33554432
rtt250ms/loss0.1pct,aria2-8,3,6.924,4.622,0.11,0.22,1,0,33554432
rtt250ms/loss0.1pct,axel-8,3,7.167,4.465,0.06,0.27,1,0,33554432
rtt250ms/loss0.1pct,bigcurl-8,3,8.038,3.981,0.26,0.45,1,0,33554432
rtt250ms/loss0.1pct,bigcurl-16,3,7.896,4.053,0.39,0.57,1,0,33554432
rtt250ms/loss0.1pct,bigcurl-auto,3,5.060,6.324,0.44,0.63,1,0,33554432
rtt250ms/loss0.5pct,curl,1,115.749,0.276,0.11,0.32,1,0,33554432
rtt250ms/loss0.5pct,aria2-8,1,17.660,1.812,0.13,0.18,1,0,33554432
rtt250ms/loss0.5pct,axel-8,1,11.220,2.852,0.05,0.28,1,0,33554432
rtt250ms/loss0.5pct,bigcurl-8,1,16.643,1.923,0.33,0.44,1,0,33554432
rtt250ms/loss0.5pct,bigcurl-16,1,15.471,2.068,0.40,0.54,1,0,33554432
rtt250ms/loss0.5pct,bigcurl-auto,1,9.345,3.424,0.44,0.55,1,0,33554432
rtt250ms/loss0.5pct,curl,2,141.620,0.226,0.13,0.39,1,0,33554432
rtt250ms/loss0.5pct,aria2-8,2,14.487,2.209,0.10,0.17,1,0,33554432
rtt250ms/loss0.5pct,axel-8,2,12.532,2.553,0.04,0.27,1,0,33554432
rtt250ms/loss0.5pct,bigcurl-8,2,14.446,2.215,0.26,0.36,1,0,33554432
rtt250ms/loss0.5pct,bigcurl-16,2,12.894,2.482,0.31,0.44,1,0,33554432
rtt250ms/loss0.5pct,bigcurl-auto,2,6.612,4.840,0.41,0.54,1,0,33554432
rtt250ms/loss0.5pct,curl,3,140.206,0.228,0.11,0.32,1,0,33554432
rtt250ms/loss0.5pct,aria2-8,3,12.441,2.572,0.09,0.16,1,0,33554432
rtt250ms/loss0.5pct,axel-8,3,10.313,3.103,0.05,0.29,1,0,33554432
rtt250ms/loss0.5pct,bigcurl-8,3,12.036,2.659,0.24,0.39,1,0,33554432
rtt250ms/loss0.5pct,bigcurl-16,3,10.469,3.057,0.34,0.54,1,0,33554432
rtt250ms/loss0.5pct,bigcurl-auto,3,9.772,3.275,0.40,0.53,1,0,33554432
